	GSM4253927	GSM4253928	GSM4253929	GSM4253930	GSM4253931	GSM4253932	GSM4253933	GSM4253934	GSM4253935	GSM4253936	GSM4253937	GSM4253938	GSM4253939	GSM4253940	GSM4253941	GSM4253942	GSM4253943	GSM4253944
ENSG00000259152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259162	0	0	21	0	11	13	18	4	10	2	33	3	21	0	0	3	5	0
ENSG00000259163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259171	0	7	140	32	0	47	0	0	0	12	0	0	33	59	0	63	58	0
ENSG00000259173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259185	11	0	0	5	4	16	8	9	8	12	19	7	13	34	24	0	83	0
ENSG00000259187	0	0	0	0	0	3	0	0	10	1	0	0	0	0	0	0	0	0
ENSG00000259188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259219	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	0
ENSG00000259221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259238	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ENSG00000259239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259244	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259250	0	0	0	0	0	0	14	0	0	0	0	13	0	0	7	0	0	0
ENSG00000259252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259254	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000259255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259275	0	0	14	0	0	15	13	0	2	0	0	9	0	0	1	2	28	25
ENSG00000259276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259316	3	10	0	1	7	3	24	4	13	0	16	0	18	0	32	57	2	5
ENSG00000259317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259321	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSG00000259322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259327	0	6	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
ENSG00000259331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259341	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0
ENSG00000259342	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000259345	6	1	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0
ENSG00000259346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259347	0	1	7	0	0	0	2	0	4	0	0	2	0	6	0	1	0	0
ENSG00000259350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259354	13	8	0	0	13	0	0	0	0	11	0	0	0	0	0	0	0	0
ENSG00000259356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259357	0	70	9	21	0	4	0	0	0	2	0	0	0	0	0	3	37	0
ENSG00000259359	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000259360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259363	0	0	0	0	0	0	0	4	0	1	0	0	1	1	0	0	0	0
ENSG00000259364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259366	15	0	12	8	22	0	4	0	34	0	26	0	0	0	10	17	16	2
ENSG00000259368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259371	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259375	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	9
ENSG00000259376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ENSG00000259383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259398	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0
ENSG00000259402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259414	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0
ENSG00000259415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259460	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	5	0
ENSG00000259463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000259502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259515	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
ENSG00000259519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259522	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000259523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259529	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
ENSG00000259530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259531	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000259532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259539	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259542	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000259556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259562	0	0	0	0	11	0	4	0	0	0	0	1	0	0	0	0	0	0
ENSG00000259563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259564	0	0	0	0	5	0	0	9	0	0	0	0	0	16	0	0	0	0
ENSG00000259569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259570	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0
ENSG00000259575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259587	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000259591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259605	6	3	16	0	0	17	4	28	22	0	0	15	12	3	3	9	18	3
ENSG00000259607	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	13	0	0
ENSG00000259608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259616	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000259620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259623	8	1	10	0	0	0	0	0	45	15	0	0	4	19	12	30	0	0
ENSG00000259624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259627	4	0	0	0	0	4	0	12	0	0	0	0	22	0	0	0	0	0
ENSG00000259628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259635	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259639	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000259644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259654	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23
ENSG00000259655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000259659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259661	0	0	2	0	16	0	0	0	0	0	1	14	0	0	8	7	27	3
ENSG00000259665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ENSG00000259669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259678	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000259681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSG00000259694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259727	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ENSG00000259730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259732	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
ENSG00000259734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000259754	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
