	GSM4072022
Efl1	456
Efna1	204
Efna2	39
Efna3	28
Efna4	35
Efna5	270
Efnb1	922
Efnb2	408
Efnb3	32
Efr3a	2854
Efr3b	484
Efs	444
Eftud2	1173
Egf	244
Egfem1	3
Egfl6	43
Egfl7	4324
Egfl8	68
Egflam	489
Egfr	1712
Egln1	3272
Egln2	1367
Egln3	360
Egr1	920
Egr2	262
Egr3	45
Egr4	0
Ehbp1	758
Ehbp1l1	5210
Ehd1	2808
Ehd2	6569
Ehd3	353
Ehd4	1824
Ehf	411
Ehhadh	1347
Ehmt1	1656
Ehmt2	3272
Ei24	1913
Eid1	1140
Eid2	104
Eid2b	147
Eid3	78
Eif1	2809
Eif1-ps1	0
Eif1-ps3	0
Eif1a	2338
Eif1ad	842
Eif1ax	1518
Eif1b	443
Eif2a	1204
Eif2ak1	1594
Eif2ak2	1889
Eif2ak3	862
Eif2ak4	823
Eif2b1	642
Eif2b2	461
Eif2b3	499
Eif2b4	684
Eif2b5	1568
Eif2d	791
Eif2s1	1393
Eif2s2	2274
Eif2s3x	5977
Eif2s3y	3
Eif3a	5327
Eif3b	2144
Eif3c	5073
Eif3d	2080
Eif3e	2214
Eif3f	1144
Eif3g	946
Eif3h	2112
Eif3i	1723
Eif3j1	1124
Eif3j2	918
Eif3k	1426
Eif3l	3305
Eif3m	1396
Eif3s6-ps1	0
Eif3s6-ps2	0
Eif3s6-ps4	4
Eif4a-ps4	1512
Eif4a1	6680
Eif4a2	11573
Eif4a3	1030
Eif4b	6613
Eif4e	1783
Eif4e1b	42
Eif4e2	2435
Eif4e3	1562
Eif4ebp1	3359
Eif4ebp2	871
Eif4ebp3	43
Eif4enif1	960
Eif4g1	17960
Eif4g2	17948
Eif4g3	2953
Eif4h	7919
Eif5	6359
Eif5a	5918
Eif5a2	314
Eif5al3-ps	0
Eif5b	1525
Eif6	1257
Elac1	519
Elac2	1246
Elane	3
Elavl1	1820
Elavl2	1
Elavl3	7
Elavl4	1
Elf1	1499
Elf2	2031
Elf3	55
Elf4	584
Elf5	192
Elfn1	38
Elfn2	2
Elk1	465
Elk3	898
Elk4	3185
Ell	692
Ell2	1584
Ell3	22
Elmo1	971
Elmo2	1418
Elmo3	250
Elmod1	6
Elmod2	3808
Elmod3	522
Elmsan1	1289
Eln	1091
Elof1	840
Elovl1	577
Elovl2	9
Elovl3	4002
Elovl4	23
Elovl5	6546
Elovl6	94840
Elovl7	138
Elp2	1220
Elp3	1267
Elp4	396
Elp5	876
Elp6	364
Emb	335
Emc1	3148
Emc10	1851
Emc2	1383
Emc3	2120
Emc4	684
Emc6	2039
Emc7	1596
Emc8	980
Emc9	474
Emcn	803
Emd	586
Eme1	43
Eme2	996
Emg1	1128
Emid1	78
Emilin1	779
Emilin2	954
Emilin3	12
Eml1	861
Eml2	313
Eml3	858
Eml4	772
Eml5	834
Eml6	335
Emp1	1957
Emp2	337
Emp3	436
Emsy	1528
Emx1	0
Emx2	16
En1	58
En2	6
Enah	1668
Enam	0
Enc1	1819
Endod1	515
Endog	833
Endou	34
Endov	426
Eng	1573
Engase	430
Enho	96
Enkd1	45
Enkur	1
Eno1	52384
Eno1b	155
Eno2	113
Eno3	7049
Eno4	25
Enoph1	284
Enox1	111
Enox2	421
Enpep	4127
Enpp1	316
Enpp2	2809
Enpp3	189
Enpp4	1239
Enpp5	2190
Enpp6	95
Enpp7	0
Ensa	2374
Enthd1	0
Enthd2	359
Entpd1	1036
Entpd2	767
Entpd3	24
Entpd4	6372
Entpd5	4386
Entpd6	703
Entpd7	296
Entpd8	1
Eny2	482
Eogt	626
Eomes	98
Ep300	3473
Ep400	3177
Epas1	10724
Epb41	2501
Epb41l1	2761
Epb41l2	7181
Epb41l3	136
Epb41l4a	152
Epb41l4b	241
Epb41l5	639
Epb42	47
Epc1	1272
Epc2	876
Epcam	524
Epdr1	631
Epg5	2662
Epgn	2
Epha1	104
Epha10	7
Epha2	375
Epha3	70
Epha4	321
Epha5	202
Epha6	1
Epha7	70
Epha8	0
Ephb1	92
Ephb2	454
Ephb3	151
Ephb4	1371
Ephb6	154
Ephx1	4455
Ephx2	8846
Ephx3	85
Ephx4	6
Epm2a	786
Epm2aip1	1842
Epn1	2569
Epn2	1598
Epn3	50
Epo	0
Epor	71
Eppin	0
Eprs	6301
Eps15	2309
Eps15l1	1116
Eps8	1084
Eps8l1	520
Eps8l2	535
Eps8l3	29
Epsti1	613
Ept1	1088
Epx	1
Epyc	36
Eqtn	10
Eral1	832
Erap1	1627
Eras	0
Erbb2	280
Erbb2ip	4287
Erbb3	706
Erbb4	135
Erc1	1846
Erc2	4
Ercc1	533
Ercc2	565
Ercc3	534
Ercc4	409
Ercc5	743
Ercc6	729
Ercc6l	69
Ercc6l2	724
Ercc8	227
Erdr1	1719
Ereg	4
Erf	540
Erg	676
Ergic1	4544
Ergic2	1370
Ergic3	1310
Erh	128
Eri1	581
Eri2	256
Eri3	1331
Erich1	187
Erich2	0
Erich3	14
Erich4	2
Erich5	8
Erich6	3
Erich6b	0
Erlec1	582
Erlin1	435
Erlin2	1780
Ermap	127
Ermard	1207
Ermn	10
Ermp1	4302
Ern1	1186
Ern2	0
Ero1l	1540
Ero1lb	438
Erp27	6
Erp29	1345
Erp44	905
Errfi1	2560
Erv3	8
Esam	1830
Esco1	848
Esco2	51
Esd	2865
Esf1	381
Esm1	21
Esp1	0
Esp15	0
Esp16	0
Esp18	0
Esp23	0
Esp24	0
Esp3	0
Esp31	0
Esp34	0
Esp36	0
Esp38	0
Esp4	0
Esp6	4
Esp8	0
Espl1	99
Espn	92
Espnl	10
Esr1	1257
Esr2	19
Esrp1	160
Esrp2	233
Esrra	3578
Esrrb	92
Esrrg	530
Esx1	0
Esyt1	4461
Esyt2	4786
Esyt3	77
Etaa1	171
Etd	0
Etf1	3686
Etfa	6479
Etfb	9620
Etfdh	11255
Ethe1	237
Etl4	1921
Etnk1	4665
Etnk2	15
Etnppl	9
Etohi1	537
Ets1	4343
Ets2	2286
Etv1	124
Etv2	0
Etv3	2717
Etv3l	0
Etv4	29
Etv5	295
Etv6	1184
Eva1a	69
Eva1b	296
Eva1c	67
Evc	430
Evc2	346
Evi2a	419
Evi2b	199
Evi5	1468
Evi5l	965
Evl	970
Evpl	119
Evx1	0
Evx2	2
Ewsr1	3868
Exd1	366
Exd2	679
Exo1	44
Exo5	125
Exoc1	1046
Exoc2	1249
Exoc3	1973
Exoc3l	158
Exoc3l2	38
Exoc3l4	109
Exoc4	2839
Exoc5	2036
Exoc6	1240
Exoc6b	1314
Exoc7	1209
Exoc8	1789
Exog	118
Exosc1	239
Exosc10	895
Exosc2	340
Exosc3	275
Exosc4	677
Exosc5	769
Exosc6	0
Exosc7	304
Exosc8	243
Exosc9	498
Exph5	134
Ext1	1519
Ext2	1312
Extl1	277
Extl2	424
Extl3	2762
Eya1	185
Eya2	172
Eya3	1042
Eya4	109
Ezh1	1920
Ezh2	397
Ezr	929
F10	97
F11	2
F11r	1368
F12	3
F13a1	857
F13b	0
F2	9
F2r	786
F2rl1	85
F2rl2	67
F2rl3	60
F3	2051
F5	27
F7	73
F8	247
F830016B08Rik	723
F830045P16Rik	3
F8a	272
F9	9
F930015N05Rik	1
F930017D23Rik	0
Fa2h	11
Faah	139
Faap100	388
Faap20	368
Faap24	64
Fabp1	8
Fabp12	6
Fabp2	0
Fabp3	5031
Fabp3-ps1	4
Fabp4	120085
Fabp5	9132
Fabp5l2	12
Fabp6	0
Fabp7	11
Fabp9	2
Fadd	302
Fads1	1267
Fads2	414
Fads3	3448
Fads6	410
Faf1	1763
Faf2	1442
Fah	1188
Fahd1	598
Fahd2a	632
Faim	290
Faim2	27
Faiml	0
Fam101a	55
Fam101b	2992
Fam102a	1015
Fam102b	1882
Fam103a1	573
Fam104a	600
Fam105a	340
Fam107a	61
Fam107b	1335
Fam109a	241
Fam109b	66
Fam110a	61
Fam110b	255
Fam110c	68
Fam111a	668
Fam114a1	680
Fam114a2	1275
Fam117a	509
Fam117b	955
Fam118a	268
Fam118b	344
Fam120a	7025
Fam120b	886
Fam120c	603
Fam122a	97
Fam122b	123
Fam122c	0
Fam124a	207
Fam124b	34
Fam126a	1096
Fam126b	3153
Fam129a	3244
Fam129b	2745
Fam129c	76
Fam131a	240
Fam131b	22
Fam131c	14
Fam132a	924
Fam132b	54
Fam133b	605
Fam134a	1787
Fam134b	1337
Fam134c	2470
Fam135a	794
Fam135b	0
Fam136a	824
Fam136b-ps	0
Fam13a	4480
Fam13b	787
Fam13c	134
Fam149a	528
Fam149b	872
Fam150a	0
Fam150b	14
Fam151a	4
Fam151b	102
Fam155a	5
Fam159a	1
Fam159b	0
Fam160a1	717
Fam160a2	1036
Fam160b1	1375
Fam160b2	1138
Fam161a	132
Fam161b	258
Fam162a	635
Fam162b	0
Fam163a	3
Fam163b	9
Fam166a	15
Fam166b	16
Fam167a	28
Fam167b	19
Fam168a	1567
Fam168b	3492
Fam169a	26
Fam169b	191
Fam170a	0
Fam170b	0
Fam171a1	691
Fam171a2	140
Fam171b	58
Fam172a	675
Fam173a	655
Fam173b	518
Fam174a	702
Fam174b	171
Fam175a	257
Fam175b	1028
Fam177a	1082
Fam178a	1662
Fam178b	16
Fam179a	55
Fam179b	1228
Fam180a	7
Fam181a	3
Fam181b	83
Fam183b	0
Fam184a	137
Fam184b	15
Fam185a	429
Fam186a	68
Fam186b	2
Fam187a	0
Fam187b	21
Fam188a	790
Fam188b	163
Fam188b2-ps	1
Fam189a1	0
Fam189a2	309
Fam189b	144
Fam192a	782
Fam193a	1651
Fam193b	1172
Fam195a	1855
Fam195b	498
Fam196a	289
Fam196b	380
Fam198a	80
Fam198b	1440
Fam199x	886
Fam19a1	21
Fam19a2	8
Fam19a3	26
Fam19a4	0
Fam19a5	104
Fam204a	573
Fam205a1	12
Fam205a2	18
Fam205a3	0
Fam205a4	18
Fam205c	16
Fam206a	279
Fam207a	486
Fam208a	2859
Fam208b	1591
Fam209	6
Fam20a	171
Fam20b	2706
Fam20c	1138
Fam21	2844
Fam210a	5515
Fam210b	667
Fam212a	305
Fam212b	402
Fam213a	7336
Fam213b	696
Fam214a	3516
Fam214b	773
Fam216a	254
Fam216b	0
Fam217a	15
Fam217b	334
Fam219a	504
Fam219b	553
Fam220-ps	0
Fam220a	818
Fam221a	29
Fam221b	4
Fam222a	36
Fam222b	341
Fam227a	99
Fam227b	5
Fam228a	25
Fam228b	60
Fam229a	0
Fam229b	934
Fam234a	2938
Fam234b	248
Fam24a	1
Fam25c	67
Fam26d	12
Fam26e	94
Fam26f	99
Fam32a	1600
Fam35a	395
Fam3a	447
Fam3b	3
Fam3c	985
Fam43a	1013
Fam43b	0
Fam45a	753
Fam46a	1711
Fam46b	25
Fam46c	487
Fam46d	0
Fam47c	0
Fam47e	2
Fam49a	1717
Fam49b	960
Fam50a	308
Fam50b	9
Fam53a	803
Fam53b	3785
Fam53c	741
Fam57a	106
Fam57b	2166
Fam58b	261
Fam60a	210
Fam63a	1099
Fam63b	4201
Fam64a	61
Fam65a	599
Fam65b	922
Fam65c	86
Fam69a	329
Fam69b	1749
Fam69c	30
Fam71a	0
Fam71b	0
Fam71d	3
Fam71e1	45
Fam71e2	0
Fam71f1	0
Fam71f2	8
Fam72a	28
Fam73a	945
Fam73b	4019
Fam76a	1029
Fam76b	657
Fam78a	272
Fam78b	414
Fam81a	33
Fam81b	0
Fam83a	69
Fam83b	11
Fam83c	43
Fam83d	32
Fam83e	30
Fam83f	142
Fam83g	130
Fam83h	468
Fam84a	127
Fam84b	661
Fam89a	53
Fam89b	848
Fam8a1	1845
Fam90a1a	10
Fam90a1b	1
Fam91a1	2062
Fam92a	435
Fam92b	0
Fam96a	1119
Fam96b	431
Fam98a	699
Fam98b	246
Fam98c	381
Fan1	379
Fanca	174
Fancb	57
Fancc	441
Fancd2	101
Fancd2os	2
Fance	381
Fancf	65
Fancg	159
Fanci	73
Fancl	131
Fancm	483
Fank1	15
Fap	519
Far1	1313
Far2	139
Farp1	1210
Farp2	416
Fars2	1280
Farsa	815
Farsb	1197
Fas	366
Fasl	40
Fasn	1151330
Fastk	2995
Fastkd1	694
Fastkd2	490
Fastkd3	160
Fastkd5	334
Fat1	4572
Fat2	94
Fat3	58
Fat4	1682
Fate1	0
Fau	1860
Fau-ps1	0
Fau-ps2	1
Faxc	72
Fbf1	740
Fbl	570
Fblim1	717
Fbll1	1
Fbln1	476
Fbln2	2477
Fbln5	550
Fbln7	479
Fbn1	6308
Fbn2	88
Fbp1	8
Fbp2	226
Fbrs	809
Fbrsl1	961
Fbxl12	267
Fbxl13	6
Fbxl14	843
Fbxl15	131
Fbxl16	27
Fbxl17	1106
Fbxl18	925
Fbxl19	732
Fbxl2	159
Fbxl20	3829
Fbxl21	49
Fbxl22	120
Fbxl3	2251
Fbxl4	891
Fbxl5	2459
Fbxl6	350
Fbxl7	37
Fbxl8	147
Fbxo10	309
Fbxo11	1906
Fbxo15	0
Fbxo16	4
Fbxo17	31
Fbxo18	2430
Fbxo2	43
Fbxo21	3093
Fbxo22	1467
Fbxo24	37
Fbxo25	368
Fbxo27	85
Fbxo28	1134
Fbxo3	3156
Fbxo30	968
Fbxo31	801
Fbxo32	2834
Fbxo33	619
Fbxo34	537
Fbxo36	71
Fbxo38	1574
Fbxo39	5
Fbxo4	310
Fbxo40	1199
Fbxo41	10
Fbxo42	771
Fbxo43	23
Fbxo44	457
Fbxo45	699
Fbxo46	392
Fbxo47	36
Fbxo48	18
Fbxo5	42
Fbxo6	835
Fbxo7	620
Fbxo8	1103
Fbxo9	1233
Fbxw10	21
Fbxw11	2308
Fbxw13	0
Fbxw14	1
Fbxw15	0
Fbxw16	0
Fbxw17	366
Fbxw18	0
Fbxw19	67
Fbxw2	2439
Fbxw20	7
Fbxw21	4
Fbxw22	0
Fbxw23	0
Fbxw24	0
Fbxw25	0
Fbxw26	0
Fbxw28	2
Fbxw4	1296
Fbxw5	1912
Fbxw7	993
Fbxw8	3154
Fbxw9	216
Fcamr	1
Fcer1a	8
Fcer1g	639
Fcer2a	51
Fcf1	589
Fcgbp	1000
Fcgr1	359
Fcgr2b	783
Fcgr3	901
Fcgr4	355
Fcgrt	4957
Fcho1	130
Fcho2	1629
Fchsd1	198
Fchsd2	1080
Fcmr	9
Fcna	140
Fcnb	0
Fcor	259
Fcrl1	12
Fcrl5	13
Fcrl6	10
Fcrla	34
Fcrlb	4
Fcrls	207
Fdft1	3110
Fdps	1800
Fdx1	1507
Fdx1l	370
Fdxacb1	343
Fdxr	490
Fech	2350
Fem1a	3838
Fem1b	1614
Fem1c	973
Fen1	243
Fer	783
Fer1l4	76
Fer1l5	73
Fer1l6	593
Ferd3l	0
Fermt1	125
Fermt2	3277
Fermt3	713
Fes	833
Fetub	28
Fev	0
Fez1	80
Fez2	1448
Fezf1	0
Fezf2	1
Ffar1	30
Ffar2	190
Ffar3	0
Ffar4	208
Fga	18
Fgb	143
Fgd1	130
Fgd2	454
Fgd3	303
Fgd4	6800
Fgd5	881
Fgd6	470
Fgf1	1110
Fgf10	707
Fgf11	219
Fgf12	3
Fgf13	179
Fgf14	36
Fgf15	2
Fgf16	9
Fgf17	7
Fgf18	13
Fgf2	982
Fgf20	0
Fgf21	123
Fgf22	0
Fgf23	2
Fgf3	0
Fgf4	0
Fgf5	4
Fgf6	24
Fgf7	202
Fgf8	6
Fgf9	44
Fgfbp1	26
Fgfbp3	102
Fgfr1	2584
Fgfr1op	626
Fgfr1op2	2241
Fgfr2	918
Fgfr3	381
Fgfr3-ps	0
Fgfr4	9
Fgfrl1	2409
Fgg	50
Fggy	465
Fgl1	53
Fgl2	1841
Fgr	174
Fh1	8135
Fhad1	11
Fhdc1	298
Fhit	42
Fhl1	15919
Fhl2	132
Fhl3	723
Fhl4	25
Fhl5	54
Fhod1	489
Fhod3	236
Fibcd1	9
Fibin	120
Fibp	562
Ficd	253
Fig4	740
Figf	187
Figla	0
Fign	248
Fignl1	51
Fignl2	442
Filip1	729
Filip1l	1742
Fip1l1	1702
Fis1	1695
Fitm1	504
Fitm2	4805
Fiz1	591
Fjx1	109
Fkbp10	258
Fkbp11	29
Fkbp14	352
Fkbp15	1777
Fkbp1a	1940
Fkbp1b	31
Fkbp2	426
Fkbp3	760
Fkbp4	2707
Fkbp5	407
Fkbp6	10
Fkbp7	346
Fkbp8	4635
Fkbp9	3755
Fkbpl	254
Fkrp	717
Fktn	1122
Flad1	1650
Flcn	3010
Flg	7
Flg2	0
Fli1	1456
Flii	4672
Flna	15512
Flnb	4535
Flnc	4952
Flot1	1120
Flot2	2525
Flrt1	322
Flrt2	506
Flrt3	63
Flt1	3362
Flt3	174
Flt3l	262
Flt4	321
Flywch1	1071
Flywch2	57
Fmn1	326
Fmn2	16
Fmnl1	544
Fmnl2	729
Fmnl3	723
Fmo1	5110
Fmo2	990
Fmo3	2
Fmo4	20
Fmo5	372
Fmo6	0
Fmo9	0
Fmod	46
Fmr1	2459
Fmr1nb	1
Fn1	5085
Fn3k	286
Fn3krp	955
Fnbp1	2302
Fnbp1l	1341
Fnbp4	1675
Fnd3c2	1
Fndc1	975
Fndc3a	2562
Fndc3b	2626
Fndc3c1	5
Fndc4	51
Fndc5	459
Fndc7	24
Fndc8	9
Fndc9	46
Fnip1	2572
Fnip2	1838
Fnta	1790
Fntb	333
Focad	1680
Folh1	23
Folr1	14
Folr2	424
Fopnl	732
Fos	715
Fosb	117
Fosl1	78
Fosl2	4214
Foxa1	159
Foxa2	1
Foxa3	6
Foxb1	5
Foxb2	2
Foxc1	176
Foxc2	14
Foxd1	5
Foxd2	19
Foxd3	30
Foxd4	0
Foxe1	0
Foxe3	0
Foxf1	8
Foxf2	32
Foxg1	10
Foxh1	1
Foxi1	36
Foxi2	0
Foxi3	0
Foxj1	10
Foxj2	830
Foxj3	1160
Foxk1	1200
Foxk2	1412
Foxl1	10
Foxl2	0
Foxm1	67
Foxn1	8
Foxn2	2078
Foxn3	1428
Foxn4	9
Foxo1	1442
Foxo3	1995
Foxo4	1392
Foxo6	26
Foxp1	1873
Foxp2	563
Foxp3	85
Foxp4	442
Foxq1	17
Foxr1	19
Foxr2	1
Foxred1	2446
Foxred2	490
Foxs1	88
Fpgs	207
Fpgt	543
Fpr-rs3	0
Fpr-rs4	0
Fpr-rs6	0
Fpr-rs7	0
Fpr1	5
Fpr2	7
Fpr3	0
Fra10ac1	283
Fras1	106
Frat1	331
Frat2	159
Frem1	564
Frem2	85
Frem3	2
Frg1	564
Frk	200
Frmd3	28
Frmd4a	1071
Frmd4b	1271
Frmd5	40
Frmd6	1021
Frmd7	12
Frmd8	956
Frmpd1	50
Frmpd3	12
Frmpd4	12
Frrs1	714
Frrs1l	63
Frs2	1035
Frs3	148
Fry	5613
Fryl	4303
Frzb	18
Fsbp	44
Fscb	0
Fscn1	814
Fscn2	12
Fscn3	1
Fsd1	13
Fsd1l	651
Fsd2	1425
Fshb	0
Fshr	0
Fsip1	0
Fsip2	0
Fst	687
Fstl1	3714
Fstl3	86
Fstl4	0
Fstl5	1
Ftcd	7
Fth-ps2	12
Fth1	21388
Fthl17-ps1	0
Fthl17-ps2	0
Fthl17-ps3	0
Fthl17a	0
Fthl17b	0
Fthl17c	0
Fthl17d	0
Fthl17e	0
Fthl17f	0
Ftl1	58812
Ftl2-ps	5
Ftmt	0
Fto	2323
Ftsj1	448
Ftsj2	199
Ftsj3	953
Fubp1	3873
Fubp3	854
Fuca1	1897
Fuca2	586
Fuk	435
Fundc1	639
Fundc2	1150
Fuom	608
Furin	2034
Fus	2605
Fut1	16
Fut10	175
Fut11	328
Fut2	31
Fut4	118
Fut7	28
Fut8	760
Fut9	32
Fuz	608
Fv1	129
Fxn	279
Fxr1	5209
Fxr2	2411
Fxyd1	1515
Fxyd2	109
Fxyd3	146
Fxyd4	26
Fxyd5	646
Fxyd6	851
Fxyd7	21
Fyb	1356
Fyco1	6560
Fyn	1008
Fyttd1	1653
Fzd1	1122
Fzd10	78
Fzd2	160
Fzd3	213
Fzd4	5465
Fzd5	414
Fzd6	420
Fzd7	944
Fzd8	388
Fzd9	212
Fzr1	763
G0s2	1941
G2e3	389
G3bp1	3126
G3bp2	5179
G430049J08Rik	142
G430095P16Rik	34
G530012D18Rik	53
G6b	6
G6pc	11
G6pc2	0
G6pc3	861
G6pd2	0
G6pdx	8518
Gaa	2974
Gab1	917
Gab2	1397
Gab3	103
Gabarap	4857
Gabarapl1	4324
Gabarapl2	1755
Gabbr1	548
Gabbr2	133
Gabpa	2179
Gabpb1	461
Gabpb2	2373
Gabra1	1
Gabra2	110
Gabra3	108
Gabra4	0
Gabra5	0
Gabra6	0
Gabrb1	19
Gabrb2	3
Gabrb3	10
Gabrd	12
Gabre	104
Gabrg1	11
Gabrg2	2
Gabrg3	14
Gabrp	13
Gabrq	15
Gabrr1	4
Gabrr2	5
Gabrr3	0
Gad1	1
Gad1-ps	5
Gad2	26
Gadd45a	838
Gadd45b	443
Gadd45g	1152
Gadd45gip1	892
Gadl1	37
Gak	3204
Gal	0
Gal3st1	18
Gal3st2	4
Gal3st3	20
Gal3st4	37
Galc	522
Gale	811
Galk1	413
Galk2	661
Galm	1081
Galns	376
Galnt1	2829
Galnt10	476
Galnt11	921
Galnt12	156
Galnt13	11
Galnt14	18
Galnt15	1167
Galnt16	370
Galnt18	560
Galnt2	3997
Galnt3	66
Galnt4	409
Galnt5	33
Galnt6	289
Galnt7	380
Galnt9	6
Galntl5	0
Galntl6	41
Galp	0
Galr1	17
Galr2	12
Galt	624
Gamt	211
Gan	1416
Ganab	2839
Ganc	2006
Gap43	1
Gapdh	36573
Gapdh-ps14	1
Gapdh-ps15	0
Gapdhs	52
Gapt	18
Gapvd1	2617
Gar1	119
Garem	107
Gareml	55
Garnl3	556
Gars	3653
Gart	1187
Gas1	1783
Gas2	98
Gas2l1	923
Gas2l2	3
Gas2l3	498
Gas6	2966
Gas7	2576
Gas8	109
Gast	0
Gata1	3
Gata2	189
Gata3	264
Gata4	22
Gata5	10
Gata6	302
Gatad1	2992
Gatad2a	1770
Gatad2b	1977
Gatb	1106
Gatc	539
Gatm	248
Gatsl2	855
Gatsl3	116
Gba	880
Gba2	518
Gbas	4420
Gbe1	9256
Gbf1	2341
Gbgt1	81
Gbp10	921
Gbp11	199
Gbp2	2431
Gbp2-ps	1
Gbp2b	11
Gbp3	2610
Gbp4	1128
Gbp5	1003
Gbp6	3833
Gbp7	2189
Gbp8	287
Gbp9	2368
Gbx1	13
Gbx2	3
Gc	12
Gca	175
Gcat	285
Gcc1	631
Gcc2	1260
Gcdh	1140
Gcfc2	191
Gcg	1
Gcgr	13
Gch1	227
Gchfr	12
Gck	110
Gckr	4
Gclc	1470
Gclm	2546
Gcm1	8
Gcm2	7
Gcn1l1	3494
Gcnt1	324
Gcnt2	834
Gcnt3	6
Gcnt4	50
Gcnt7	123
Gcom1	33
Gcsam	30
Gcsh	1801
Gda	2815
Gdap1	56
Gdap1l1	2
Gdap2	630
Gde1	2732
Gdf1	17
Gdf10	536
Gdf11	178
Gdf15	494
Gdf2	0
Gdf3	157
Gdf5	19
Gdf6	13
Gdf7	9
Gdf9	18
Gdi1	2289
Gdi2	6543
Gdnf	9
Gdpd1	138
Gdpd2	3
Gdpd3	46
Gdpd4	0
Gdpd5	404
Gdpgp1	167
Gem	267
Gemin2	225
Gemin4	67
Gemin5	700
Gemin6	104
Gemin7	426
Gemin8	120
Gen1	30
Get4	930
Gfap	4
Gfer	704
Gfi1	11
Gfi1b	3
Gfm1	3534
Gfm2	2176
Gfod1	1674
Gfod2	346
Gfpt1	2057
Gfpt2	809
Gfra1	79
Gfra2	178
Gfra3	134
Gfra4	53
Gfral	0
Gfy	0
Gga1	1026
Gga2	2291
Gga3	777
Ggact	244
Ggct	171
Ggcx	1324
Ggh	434
Ggn	36
Ggnbp1	506
Ggnbp2	2454
Ggps1	689
Ggt1	26
Ggt5	740
Ggt6	25
Ggt7	27
Ggta1	1286
Gh	0
Ghdc	504
Ghitm	19749
Ghr	6721
Ghrh	0
Ghrhr	1
Ghrl	39
Ghsr	1
Gid4	3710
Gid8	665
Gif	1
Gigyf1	1158
Gigyf2	2335
Gimap1	294
Gimap3	732
Gimap4	1038
Gimap5	230
Gimap6	1397
Gimap7	90
Gimap8	961
Gimap9	143
Gimd1	0
Gin1	529
Ginm1	4282
Gins1	41
Gins2	247
Gins3	74
Gins4	513
Gip	2
Gipc1	733
Gipc2	120
Gipc3	1
Gipr	91
Git1	1288
Git2	2291
Gja1	3674
Gja10	0
Gja3	0
Gja4	163
Gja5	150
Gja6	14
Gja8	46
Gjb1	3
Gjb2	38
Gjb3	3
Gjb4	1
Gjb5	0
Gjb6	1
Gjc1	377
Gjc2	7
Gjc3	262
Gjd2	1
Gjd3	1
Gjd4	6
Gje1	4
Gk	1908
Gk2	0
Gk5	401
Gkap1	511
Gkn1	0
Gkn2	0
Gkn3	37
Gla	606
Glb1	659
Glb1l	327
Glb1l2	900
Glb1l3	0
Glcci1	1066
Glce	878
Gldc	43
Gldn	63
Gle1	1025
Glg1	3957
Gli1	63
Gli2	82
Gli3	204
Glipr1	234
Glipr1l1	0
Glipr1l2	3
Glipr2	389
Glis1	7
Glis2	273
Glis3	251
Glmn	135
Glmp	1800
Glns-ps1	6
Glo1	1636
Glod4	1040
Glod5	2
Glp1r	0
Glp2r	28
Glra1	3
Glra2	3
Glra3	11
Glra4	18
Glrb	199
Glrp1	14
Glrx	409
Glrx2	1236
Glrx3	2964
Glrx5	1606
Gls	3104
Gls2	18
Glt1d1	28
Glt28d2	115
Glt6d1	0
Glt8d1	395
Glt8d2	77
Gltp	869
Gltpd2	2
Gltscr1	410
Gltscr1l	801
Gltscr2	2354
Glud-ps	0
Glud1	4339
Glul	46744
Glyat	18
Glyatl3	4
Glycam1	3
Glyctk	142
Glyr1	2956
Gm1000	12
Gm10012	765
Gm10013	0
Gm10015	1
Gm10020	9
Gm10024	0
Gm10025	400
Gm10029	0
Gm10031	48
Gm10032	93
Gm10033	58
Gm10036	3
Gm10037	2
Gm10038	90
Gm10039	0
Gm10040	2371
Gm10042	0
Gm10045	4
Gm10046	1
Gm10051	0
Gm10052	451
Gm10053	11658
Gm10057	0
Gm10058	0
Gm10059	0
Gm10061	0
Gm10064	0
Gm10065	0
Gm10073	5
Gm10074	0
Gm10075	0
Gm10076	1619
Gm10080	32
Gm10081	0
Gm10086	4
Gm10087	8
Gm10088	0
Gm10092	0
Gm10093	0
Gm10094	786
Gm10096	0
Gm10097	74
Gm10100	0
Gm10104	0
Gm10105	0
Gm10108	783
Gm10109	0
Gm10110	16
Gm10112	0
Gm10113	1
Gm10116	0
Gm10118	13
Gm10123	2553
Gm10126	0
Gm10128	0
Gm10130	3
Gm10131	272
Gm10132	0
Gm10134	61
Gm10135	0
Gm10136	15
Gm10139	0
Gm10142	0
Gm10145	0
Gm10146	183
Gm10147	0
Gm10153	0
Gm10154	6
Gm10155	0
Gm10156	0
Gm10157	0
Gm10160	7
Gm10161	0
Gm10163	0
Gm10167	0
Gm10169	2
Gm10171	0
Gm10172	25
Gm10175	3034
Gm10177	427
Gm10179	0
Gm10180	0
Gm10181	0
Gm10182	8
Gm10184	0
Gm10188	0
Gm10190	0
Gm10192	9
Gm10193	5
Gm10197	0
Gm10198	0
Gm10203	0
Gm10205	0
Gm10212	0
Gm10217	0
Gm10220	0
Gm10221	521
Gm10222	0
Gm10224	0
Gm10226	1
Gm10228	0
Gm10229	0
Gm10230	0
Gm10231	0
Gm10232	0
Gm10233	0
Gm10234	0
Gm10237	1
Gm10238	0
Gm10240	608
Gm10241	0
Gm10242	0
Gm10243	56
Gm10247	0
Gm10250	19
Gm10251	8
Gm10254	0
